Algorithm,Comparisons,Swaps,Time(microseconds)
Bubble Sort,199975294,99239298,1217795
Insertion Sort,99239298,99239298,602183
Selection Sort,199990000,19992,532156
Merge Sort,260905,287232,10290
Quick Sort,347790,68113,3143
Heap Sort,362936,268588,6305
Bubble Sort,199984644,100006497,1298682
Insertion Sort,100006497,100006497,578003
Selection Sort,199990000,19990,480630
Merge Sort,260812,287232,7076
Quick Sort,336564,68149,2454
Heap Sort,362618,268241,4819
Bubble Sort,199968264,101117372,1246596
Insertion Sort,101117372,101117372,689173
Selection Sort,199990000,19991,525433
Merge Sort,260808,287232,8141
Quick Sort,378060,67045,2683
Heap Sort,362754,268406,6150
Bubble Sort,199987372,100415621,1255533
Insertion Sort,100415621,100415621,632083
Selection Sort,199990000,19983,517196
Merge Sort,260863,287232,8518
Quick Sort,338553,68465,2707
Heap Sort,362798,268340,4888
Bubble Sort,199969497,99443157,1210231
Insertion Sort,99443157,99443157,627341
Selection Sort,199990000,19990,547705
Merge Sort,260832,287232,7079
Quick Sort,356158,67965,2507
Heap Sort,362951,268537,4743
Bubble Sort,199988289,100117496,1264376
Insertion Sort,100117496,100117496,587221
Selection Sort,199990000,19983,510330
Merge Sort,260709,287232,7082
Quick Sort,349734,67518,2493
Heap Sort,362676,268341,4800
Bubble Sort,199986679,99910845,1213294
Insertion Sort,99910845,99910845,580951
Selection Sort,199990000,19989,504160
Merge Sort,260871,287232,7076
Quick Sort,334879,68232,2464
Heap Sort,362802,268331,4817
Bubble Sort,199989139,100195039,1202845
Insertion Sort,100195039,100195039,581992
Selection Sort,199990000,19981,600962
Merge Sort,260869,287232,7615
Quick Sort,338738,68524,2626
Heap Sort,362717,268385,5108
Bubble Sort,199984849,99471338,1308505
Insertion Sort,99471338,99471338,590744
Selection Sort,199990000,19989,476498
Merge Sort,260826,287232,7097
Quick Sort,338823,68699,2541
Heap Sort,362780,268461,4752
Bubble Sort,199970497,101598625,1191943
Insertion Sort,101598625,101598625,591620
Selection Sort,199990000,19985,500030
Merge Sort,260958,287232,7094
Quick Sort,340572,68034,2451
Heap Sort,362577,268283,5322
Bubble Sort,199985149,100261731,1214891
Insertion Sort,100261731,100261731,660618
Selection Sort,199990000,19991,557010
Merge Sort,260929,287232,7181
Quick Sort,376667,67755,2549
Heap Sort,362742,268448,4823
Bubble Sort,199922839,99379957,1248161
Insertion Sort,99379957,99379957,683961
Selection Sort,199990000,19990,687194
Merge Sort,260880,287232,10655
Quick Sort,360955,67125,3153
Heap Sort,362831,268387,7298
Bubble Sort,199964800,99553474,1380278
Insertion Sort,99553474,99553474,578479
Selection Sort,199990000,19992,486527
Merge Sort,260873,287232,7549
Quick Sort,357143,67768,2874
Heap Sort,362817,268370,5410
Bubble Sort,199970299,99986970,1200158
Insertion Sort,99986970,99986970,575420
Selection Sort,199990000,19989,478124
Merge Sort,260932,287232,7096
Quick Sort,330936,68610,2473
Heap Sort,362779,268370,4788
Bubble Sort,199917990,99347337,1212480
Insertion Sort,99347337,99347337,580678
Selection Sort,199990000,19992,479272
Merge Sort,260712,287232,7080
Quick Sort,337399,68445,2484
Heap Sort,362439,268292,4781
Bubble Sort,199971085,99304367,1206246
Insertion Sort,99304367,99304367,586153
Selection Sort,199990000,19986,476963
Merge Sort,260862,287232,7110
Quick Sort,355695,67368,2473
Heap Sort,362894,268429,4805
Bubble Sort,199960839,100207543,1191372
Insertion Sort,100207543,100207543,582200
Selection Sort,199990000,19982,486333
Merge Sort,261052,287232,7065
Quick Sort,352513,68067,2505
Heap Sort,362656,268455,4787
Bubble Sort,199961080,99255205,1221752
Insertion Sort,99255205,99255205,642736
Selection Sort,199990000,19984,515937
Merge Sort,260708,287232,10493
Quick Sort,356595,67334,3082
Heap Sort,362550,268327,6315
Bubble Sort,199981872,99614701,1250704
Insertion Sort,99614701,99614701,582301
Selection Sort,199990000,19992,511434
Merge Sort,260893,287232,7075
Quick Sort,337961,68327,2480
Heap Sort,363202,268447,4840
Bubble Sort,199929274,100188040,1203455
Insertion Sort,100188040,100188040,650827
Selection Sort,199990000,19980,538924
Merge Sort,260848,287232,7076
Quick Sort,349754,68330,2518
Heap Sort,362432,268314,4823
Bubble Sort,199895170,99508103,1251416
Insertion Sort,99508103,99508103,579223
Selection Sort,199990000,19991,476003
Merge Sort,260869,287232,7079
Quick Sort,337621,68317,2495
Heap Sort,362931,268518,4792
Bubble Sort,199980955,99184621,1223178
Insertion Sort,99184621,99184621,589085
Selection Sort,199990000,19985,478275
Merge Sort,260728,287232,7075
Quick Sort,336797,68433,2481
Heap Sort,362854,268359,4765
Bubble Sort,199945449,99342196,1319461
Insertion Sort,99342196,99342196,693323
Selection Sort,199990000,19986,512528
Merge Sort,260917,287232,7431
Quick Sort,343947,67878,2657
Heap Sort,362918,268516,5010
Bubble Sort,199955284,100692601,1286369
Insertion Sort,100692601,100692601,650987
Selection Sort,199990000,19987,518890
Merge Sort,260867,287232,7859
Quick Sort,386783,67304,2664
Heap Sort,362670,268332,5002
Bubble Sort,199965024,99952146,1268160
Insertion Sort,99952146,99952146,685661
Selection Sort,199990000,19991,560884
Merge Sort,260905,287232,7088
Quick Sort,354517,67989,2492
Heap Sort,362946,268376,4834
Bubble Sort,199970497,99575517,4577491
Insertion Sort,99575517,99575517,2403923
Selection Sort,199990000,19988,2102002
Merge Sort,260964,287232,82814
Quick Sort,358390,67581,2497
Heap Sort,362719,268339,4796
Bubble Sort,199970497,100000658,5012141
Insertion Sort,100000658,100000658,2587713
Selection Sort,199990000,19981,1909912
Merge Sort,260923,287232,83333
Quick Sort,363008,67285,2503
Heap Sort,362584,268328,4794
Bubble Sort,199940545,99491516,4892580
Insertion Sort,99491516,99491516,2409804
Selection Sort,199990000,19989,2009898
Merge Sort,260938,287232,82774
Quick Sort,343359,68207,3137
Heap Sort,362954,268426,6438
Bubble Sort,199987444,100217345,5291044
Insertion Sort,100217345,100217345,2610752
Selection Sort,199990000,19988,2189151
Merge Sort,260817,287232,7083
Quick Sort,350245,67658,2489
Heap Sort,362619,268315,4818
Bubble Sort,199961797,99827588,5200905
Insertion Sort,99827588,99827588,2391094
Selection Sort,199990000,19992,1998889
Merge Sort,260857,287232,8626
Quick Sort,380125,66502,2577
Heap Sort,362586,268439,79546
Bubble Sort,199978675,100022328,5312307
